wav_file,json_decibel,wav_peak_spl,wav_rms_spl,json_direction,wav_predicted_direction,spl_difference_peak,spl_difference_rms,match_direction
1.자동차_1177_1.wav,69.0,83.5,67.1,좌,중앙,14.5,1.9,False
1.자동차_1178_1.wav,115.0,91.1,74.9,우,중앙,23.9,40.1,False
1.자동차_1179_1.wav,72.0,78.7,64.5,좌,중앙,6.7,7.5,False
1.자동차_1182_1.wav,119.0,87.9,75.3,우,중앙,31.1,43.7,False
1.자동차_1183_1.wav,73.0,81.0,66.2,우,중앙,8.0,6.8,False
1.자동차_1184_1.wav,82.0,86.7,72.3,우,중앙,4.7,9.7,False
1.자동차_1185_1.wav,101.0,88.1,68.6,우,중앙,12.9,32.4,False
1.자동차_1187_1.wav,122.0,89.2,74.1,우,중앙,32.8,47.9,False
1.자동차_1188_1.wav,88.0,86.8,73.2,우,중앙,1.2,14.8,False
1.자동차_1189_1.wav,68.0,79.0,65.3,좌,중앙,11.0,2.7,False
1.자동차_1193_1.wav,73.0,84.7,71.0,우,중앙,11.7,2.0,False
1.자동차_1196_1.wav,72.0,88.6,69.4,우,중앙,16.6,2.6,False
1.자동차_1198_1.wav,75.0,86.4,68.2,우,중앙,11.4,6.8,False
1.자동차_1201_1.wav,72.0,80.0,65.0,우,중앙,8.0,7.0,False
1.자동차_1202_1.wav,75.0,83.0,68.1,우,중앙,8.0,6.9,False
1.자동차_1205_1.wav,74.0,81.7,67.2,우,중앙,7.7,6.8,False
1.자동차_1208_1.wav,69.0,84.3,69.5,우,중앙,15.3,0.5,False
1.자동차_1210_1.wav,106.0,93.4,74.4,우,중앙,12.6,31.6,False
1.자동차_1211_1.wav,70.0,85.6,70.0,우,중앙,15.6,0.0,False
1.자동차_1216_1.wav,81.0,87.7,72.6,우,중앙,6.7,8.4,False
1.자동차_1217_1.wav,118.0,90.7,73.3,우,좌,27.3,44.7,False
1.자동차_1218_1.wav,75.0,80.2,62.8,우,중앙,5.2,12.2,False
1.자동차_1219_1.wav,101.0,90.0,73.3,우,중앙,11.0,27.7,False
1.자동차_1220_1.wav,71.0,86.0,70.0,우,중앙,15.0,1.0,False
1.자동차_1221_1.wav,125.0,94.0,78.6,좌,중앙,31.0,46.4,False
1.자동차_1223_1.wav,70.0,82.7,65.0,우,중앙,12.7,5.0,False
1.자동차_1227_1.wav,73.0,87.6,71.9,좌,중앙,14.6,1.1,False
1.자동차_1231_1.wav,82.0,86.9,71.5,우,중앙,4.9,10.5,False
1.자동차_1233_1.wav,111.0,90.0,71.5,우,좌,21.0,39.5,False
1.자동차_1236_1.wav,110.0,88.7,65.9,좌,중앙,21.3,44.1,False
1.자동차_1237_1.wav,107.0,90.5,72.6,좌,중앙,16.5,34.4,False
1.자동차_1238_1.wav,86.0,88.8,71.6,좌,중앙,2.8,14.4,False
1.자동차_1242_1.wav,116.0,94.0,83.7,우,중앙,22.0,32.3,False
1.자동차_1243_1.wav,68.0,84.4,70.6,우,중앙,16.4,2.6,False
1.자동차_1246_1.wav,74.0,84.5,70.8,우,중앙,10.5,3.2,False
1.자동차_1247_1.wav,69.0,84.2,70.6,우,중앙,15.2,1.6,False
